word,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted
དམ་བཅས་,3,2,3,2,2,2
བཏང་,4,3,4,4,2,2
དངོས་པོ་,5,2,2,2,10,7
བསམ་,3,3,2,3,5,5
ལྟུང་བ་,4,4,3,3,5,3
དམན་,5,5,3,4,5,5
ཉམས་,4,1,3,3,4,4
བཅད་,4,4,3,4,3,4
ནད་མེད་,4,3,3,3,4,3
འཐོབ་,3,2,2,2,2,3
རྨོངས་པ་,9,6,5,6,6,6
བསགས་,3,2,2,3,2,2
སྒྲ་,6,4,3,4,3,3
ཐོས་,4,2,2,2,4,5
གོམས་,4,3,4,4,5,3
རྟོགས་,5,2,2,2,4,4
སྒྱིད་ལུག་,3,3,3,3,3,1
འགྱུར་བ་,3,2,1,2,2,2
ཁྲིད་,3,3,3,3,3,2
རྙེད་དཀའ་,3,2,3,2,4,3
སེམས་མེད་,5,1,1,1,4,3
གནོད་བྱེད་,5,5,4,3,3,4
བཟོད་པ་,3,2,3,3,4,2
འཇུག་,5,3,3,4,5,4
མི་ནུས་,4,4,2,2,3,3
ཕྲད་,3,3,3,4,4,3
དགྲ་བོ་,3,2,2,2,2,2
ཕན་,6,5,2,4,4,3
རིམ་གྲོ་,3,3,3,3,4,3
སྲུང་མ་,3,2,2,2,2,4
ཆགས་པ་,7,2,3,3,2,2
བཅོམ་,8,6,5,7,5,5
བརྩོན་,6,5,5,6,7,6
ང་རྒྱལ་,5,2,2,4,5,1
མཚོན་,3,3,3,3,2,2
གྲུབ་པ་,3,1,1,1,3,4
རྨ་,3,2,2,2,3,3
དོན་ཆེན་,3,2,2,1,3,2
བཟོད་,6,3,3,3,3,4
གྲོལ་བ་,3,2,2,2,3,2
བྱ་,4,3,3,2,5,4
ཡུལ་,3,2,2,2,2,2
ནུས་པ་,4,1,1,1,2,2
བསྲུང་,5,7,6,4,7,6
དྲན་པ་,3,4,1,3,3,4
ཕ་རོལ་ཕྱིན་,3,4,3,3,3,4
འབྲས་,3,1,1,1,4,2
བཟློག་,7,3,4,2,6,6
སྤྱད་,4,3,4,4,6,5
བུད་མེད་,5,2,3,2,3,2
ངན་པ་,4,2,3,2,2,2
ཤེས་བཞིན་མེད་པ་,3,1,1,1,2,2
ཉམས་པ་,3,2,3,3,3,1
ཕྲོགས་,3,1,2,1,2,3
གཏོང་,3,3,4,4,1,3
གུས་,3,2,3,3,3,2
ལྟ་བ་,3,1,2,1,3,1
བལྟ་བ་,3,3,3,3,4,4
བལྟས་,3,2,2,2,3,3
གནས་སྐབས་,5,4,5,4,6,3
དགོས་པ་,3,1,1,1,3,2
སྤྱད་པ་,5,2,2,2,2,4
སྤྱོད་,11,3,5,7,10,8
དོར་,5,2,3,4,4,4
འདོད་པ,3,3,3,3,2,2
རང་དོན་,7,4,3,4,6,5
གཉེན་པོ་,3,1,1,1,2,2
ཞི་,4,1,2,2,4,3
ཕན་ཚུན་,4,2,2,2,3,2
བྱིས་པ་,5,5,6,4,6,5
དངོས་,4,2,3,2,7,9
དབང་,8,3,3,2,8,6
ཤ་,3,1,2,1,1,2
མི་དགར་,3,2,2,2,3,2
ཐོག་མར་,3,2,2,2,2,2
འབད་,4,2,4,2,3,4
སྦྱིན་,3,3,4,3,4,3
རང་དབང་,5,4,3,4,2,2
སྒྲུབ་པ་,3,3,2,4,4,3
བླང་,3,1,2,2,3,3
དགའ་,11,7,6,8,10,8
མི་དགའ་,5,4,4,5,5,4
འབྲེལ་པ་,3,1,1,1,2,2
ཚུལ་,3,1,2,1,1,4
སྙིང་རྗེ་,3,1,1,1,2,2
མདོ་,3,1,2,1,2,2
དོར་བ་,5,5,5,4,5,5
ལག་པ་,4,2,2,2,3,2
འགྲུབ་,5,6,4,6,5,5
ཞི་བ་,3,2,2,2,3,2
མི་འདོད་,9,7,8,6,9,7
གེགས་,6,3,2,4,1,3
བརྙས་,3,1,2,2,1,3
མི་སྙན་,5,3,4,3,5,4
གོམས་པ་,4,2,2,2,4,4
རླུང་,3,2,1,2,3,2
གསོད་པ་,3,2,2,2,2,2
སྐྱོ་བ་,3,2,1,2,3,2
རྐྱེན་,4,1,1,1,4,2
མཁའ་,3,2,2,2,3,2
རིགས་པ་,3,3,2,3,3,3
མི་རིགས་,4,4,3,4,3,4
དུག་,3,1,1,1,2,1
ཁ་ཅིག་,3,0,0,1,0,1
བཀོན་,3,3,2,3,4,2
གཟུགས་,4,2,1,1,4,4
རལ་གྲི་,3,2,2,2,2,2
གནོད་བྱས་,3,1,0,1,0,0
ཤི་,3,3,3,3,3,4
རྨོངས་པས་,3,0,1,0,1,2
དམྱལ་བའི་,3,2,2,3,2,2
བསྟོད་,3,2,3,3,2,2
གདུང་བ་,3,3,2,3,3,2
གྲགས་པ་,5,2,2,2,6,3
འཇིག་པ་,3,1,0,0,2,1
ཕྲག་དོག་,3,1,2,2,2,2
གྲོལ་,3,1,2,2,4,3
ཆ་,3,1,1,1,3,3
མཉམ་,3,1,2,2,2,3
གཡོ་མེད་,3,1,1,1,3,2
མཛད་,3,1,1,1,1,1
མཐོང་བ་,3,1,2,2,3,3
སྐྱེ་བ་,5,3,3,2,3,5
ཟ་,3,4,3,4,3,4
འཆི་,3,2,2,2,2,3
འོངས་,4,2,2,2,4,3
རེག་པ་,4,2,2,2,4,3
བདེན་པ་,3,1,1,1,2,4
མོས་པ་,3,3,3,3,3,1
དབང་བསྒྱུར་,3,2,2,2,2,2
བྱིས་,3,3,2,3,3,3
འགྲན་,3,1,1,1,2,2
ཆགས་མེད་,4,3,1,3,3,4
རུས་གོང་,3,4,3,3,2,2
འཛིན་,3,0,0,0,4,3
གཅོད་,3,1,1,1,2,1
མངོན་སུམ་,4,2,2,2,4,3
འདོད་ལྡན་,5,5,5,4,4,4
སེམས་མེད་པ་,3,1,1,1,3,1
ངོ་མཚར་,3,1,1,2,3,2
རང་ཉིད་,3,1,1,1,4,3
ཆགས་པར་བྱེད་,3,1,1,1,2,2
ལྟུང་,3,0,1,0,2,3
བདག་མེད་,3,0,0,0,2,2
གོམས་པས་,3,0,0,0,3,3
ལྟོས་,3,0,0,0,3,2
སྒྱུ་མ་,3,0,0,0,2,3
དངོས་མེད་,5,0,0,0,2,4
གྲུབ་,3,0,0,0,3,4
རྣམ་དཔྱོད་,4,0,0,0,4,1
འདྲེས་,3,0,0,0,0,1
